Date,Question,Answer,Specialty,Diagnosis,Emergency,Pharmacology
2018-08-17 00:00:00,What are the indications of parenteral antibiotics for skin and soft tissues MRSA infections?,"Treatment with parenteral antibiotic therapy is warranted in the following circumstances:
1. Extensive soft tissue involvement
2. Signs of systemic toxicity
3. Rapid progression of clinical manifestations
4. Persistence or progression of symptoms after 48 to 72 hours of oral therapy
5. Immunocompromise
6. Proximity of soft tissue infection to an indwelling device",Infectious Diseases,,,
2018-08-17 00:00:00,What is the fluoroquinolone that has activity against MRSA?," Delafloxacin is a fluoroquinolone approved in June 2017 by the US Food and Drug Administration for treatment of bacterial skin and soft tissue infections. Delafloxacin has activity against staphylococci, including methicillin-resistant strains. It also has activity against gram-negative bacteria (including Pseudomonas aeruginosa and Enterobacteriaceae) as well as some anaerobes including Clostridium difficile.",Infectious Diseases,,,
2018-08-18 00:00:00,What is Telavancin?,"Telavancin is a semisynthetic lipoglycopeptide that inhibits cell wall synthesis and disrupts cell membrane permeability. It is bactericidal against MRSA, and vancomycin-resistant S. aureus (VRSA). It has a half-life of seven to nine hours, permitting once-daily dosing. Telavancin should be avoided in patients at risk for nephrotoxicity. Telavancin has a higher rate of toxicity than vancomycin (including taste disturbance, nausea, vomiting, and renal dysfunction) and has been associated with teratogenicity.",Infectious Diseases,,,
2018-08-18 00:00:00,What is the gold standard method for the diagnosis of UTI? ,By a urine sample collected through a suprapubic aspiration of the bladder,Infectious Diseases,,,
2018-08-18 00:00:00,What is the ideal voided sample? ,"The ideal voided urine sample for evaluation of UTI is one that accurately represents the bladder bacterial count with minimized contamination by bacteria colonizing the distal urethra and genital mucosa. In theory, this would be a clean-catch, midstream sample of the first micturition of the day.

However, clinical studies do not demonstrate that cleaning the meatus is associated with lower rates of contamination. Thus, for patients in whom the cleaning step may be impractical or difficult, a midstream urine collected (with the labia spread, for women) is likely an appropriate sample.",Infectious Diseases,,,
2018-08-18 00:00:00,What are the values for using Dipsticks for the diagnosis of UTI? ,"Dipsticks, which detect the presence of leukocyte esterase and nitrite in the urine, can be used as a screening tool and are generally performed whenever UTI is suspected. 
A positive dipstick can support the diagnosis of UTI in a patient with suggestive symptoms, and a negative test can refute the diagnosis if clinical suspicion is low. However, a negative nitrite and leukocyte esterase on the dipstick may represent false negative results in a truly infected patient, and a urine culture should generally be performed if clinical suspicion is high. 
",Infectious Diseases,,,
2018-08-18 00:00:00,What are the causes of false negative nitrite in urine? ,"Reasons for a negative nitrite test despite the presence of bladder bacteriuria include insufficient bladder incubation time for conversion of nitrate to nitrite, low urinary excretion of nitrate, inability of some organisms to convert nitrate to nitrite (such as Enterococcus faecalis), and decreased urine pH (due to cranberry juice or other dietary supplements).",Infectious Diseases,,,
2018-08-18 00:00:00,What are the causes of sterile pyuria? ,"Whereas true infection without pyuria is unusual, pyuria can occur in the absence of apparent bacterial infection, particularly in patients who have already taken antimicrobials (often due to self-medication). Other causes of sterile pyuria include:
1. Contamination of the urine sample by the sterilizing solution used to clean the meatus
2. Contamination of the urine sample with vaginal leukocytes from vaginal secretions
3. Chronic interstitial nephritis
4. Nephrolithiasis 
5. Uroepithelial tumor 
6. Painful bladder syndrome/interstitial cystitisc
7. Infection with atypical organisms, such as Chlamydia, Ureaplasma urealyticum, or tuberculosis ",Infectious Diseases,,,
2018-08-22 00:00:00,What are the causes of excess intestinal gas?,"When excessive intestinal gas does occur, it may be due to excessive air swallowing, increased intraluminal production from malabsorbed nutrients, decreased gas absorption due to obstruction, or expansion of intraluminal gas due to changes in atmospheric pressure. IBS, motility disorders and infections are also among the differential diagnosis. ",Gastroenterology,,,
2018-08-22 00:00:00,What is the composition of intestinal gas? ,"Nitrogen (N2), oxygen (O2), carbon dioxide (CO2), hydrogen (H2), and methane (CH4) account for more that 99 percent of expelled intestinal gas. The composition of gas may vary in a given compartment of the gastrointestinal tract. As an example, stomach gas contains high concentrations of N2 and O2 similar to the atmosphere, while flatus contains less O2 and more CH4.",Gastroenterology,,,
2018-08-22 00:00:00,What is the volume of gas passed by rectum per day? ,The volume of gas passed per rectum varies from about 500 to 1500 mL per day.,Gastroenterology,,,
2018-08-22 00:00:00,What are the factors that may account for a patient's awareness of bothersome flatus?,"A number of factors may account for a patient's awareness of bothersome flatus:
1. An alteration of intestinal motility or bacteria.
2. Dietary factors, such as an increased intake of lactose, fructose, sorbitol; undigestible starches in fruits, vegetables, and legumes; and carbonated beverages. 
3. Psychological factors that may create a heightened sensitivity to normal flatal passage.",Gastroenterology,,,
2018-08-22 00:00:00,What are the indications for investigating a new-onset flatulence?,"New onset flatulence associated with symptoms such as weight loss, diarrhea, abdominal pain, and distention or anorexia usually deserves a work-up for malabsorption. This may include stool examination for fat and Giardia, a lactose tolerance test, celiac serology, and a small bowel radiograph or upper endoscopy. For the patient with no ""alarm"" signals, such studies rarely uncover a specific underlying problem.",Gastroenterology,,,
2018-08-22 00:00:00,What is the treatment of flatulence? ,"Several measures can be undertaken to reduce annoying flatus.
1. Dietary measures including the avoidance of foods that may contribute to the problem is an obvious initial step. 
2. Simethicone, which causes gas bubbles to break and coalesce, is widely used for treating gaseous complaints. However, it has not been shown to be of benefit.
3. Beano, an alpha-galactosidase preparation, is often tried by patients on their own. This over-the-counter agent reduced gas production and frequency in subjects challenged with baked beans.
4. If bacterial overgrowth or an altered flora is strongly suspected, a two-week trial of antibiotic treatment may be helpful. 
5. Bismuth subsalicylate reduces the odor arising from hydrogen sulfide as well as other pungent components of flatus.
6. A variety of external devices to deodorize flatus (such as charcoal-lined cushions) are commercially available. ",Gastroenterology,,,
2018-08-22 00:00:00,What is the cause of the odor of flatus?,"None of the principal gases has an odor. Minor constituents of flatus, to which odor may be attributable, include sulfur-containing compounds as well as short-chain fatty acids, volatile amines, and ammonia.",Gastroenterology,,,
2018-08-22 00:00:00,What are the causes of aerophagia?,"Larger amounts are swallowed when food is gulped. Aerophagia can be a manifestation of anxiety, and may also be enhanced by gum chewing and smoking.",Gastroenterology,,,
2018-08-22 00:00:00,What is the treatment of chronic eructation?,"Patients should be advised to discontinue habits as gum chewing, smoking, drinking carbonated beverages, and gulping food and liquids. 
Specific treatment of anxiety should be considered if this is a prominent symptom. Reassurance that isolated belching is a benign condition may help relieve underlying anxiety. Baclofen treatment (10 mg three times daily) has been reported to reduce supragastric belching and aerophagia, and can be tried when behavioral approaches are unsuccessful ",Gastroenterology,,,
2018-08-22 00:00:00,What are the foods that should be stopped in patients with flatulence? ,"If patients who complain predominantly of flatus, dietary changes are suggested. These include a temporary trial of lactose and fructose avoidance, avoidance of sorbitol (which may be contained in diet foods and chewing gum), avoidance of ingestion of foods known to promote gaseousness (such as cabbage, onions, broccoli, brussel sprouts, wheat, and potatoes), and a diet low in fermentable oligosaccharides, disaccharides, monosaccharides, and polyols (FODMAP).",Gastroenterology,,,
2018-08-31 00:00:00,How can you calculate the number needed to treat? ,"It is the reciprocal of the rate difference. When it is possible to calculate both the rate difference and the risk difference, the rate difference is the preferred measure.",Research,,,
2018-08-31 00:00:00,What are the advises to avoid errors in handling data? ,"1. KEEP THE DATA IN ONE PLACE
2. DON’T MANUALLY ALTER DATA
3. DON’T ANALYZE DATA IN EXCEL
4. PLOT EACH VARIABLE FIRST
5. CHECK YOUR Ns
6. DOUBLE-CHECK SIMPLE MATH AND USE COMMON SENSE",Research,,,
2018-08-31 00:00:00,Define prevalence.,It is the proportion of subjects who have a particular outcome at a given time point; includes both old and new cases.,Research,,,
2018-08-31 00:00:00,Define incidence rate. ,It is he proportion of subjects who develop a particular outcome during a longitudinal study.,Research,,,
2018-08-31 00:00:00,Define cumulative risk. ,"It is the rate at which new outcomes occur in a longitudinal study, expressed as the number of new cases per person-year.",Research,,,
2018-09-06 00:00:00,What is the effect of pregnancy on rheumatoid arthritis?,Approximately 50 to 70 percent of women with rheumatoid arthritis (RA) improve during pregnancy. The decrease in disease activity generally starts in the first trimester and lasts through the duration of pregnancy. Most patients will flare in the postpartum period.,Gynecology,,,
2018-09-07 00:00:00,What is the definition of independence in statistics?,"In probability theory, two events are independent, statistically independent, or stochastically independent if the occurrence of one does not affect the probability of occurrence of the other. 
Two events A and B are independent if and only if their joint probability equals the product of their probabilities.",Research,,,
2018-09-18 00:00:00,What are the conditioning regimens for HCT?,"Conditioning regimens (also called preparative regimens) for HCT can be myeloablative, nonmyeloablative, or reduced-intensity. These are defined as follows:
-Myeloablative regimens are those that destroy the recipient's bone marrow, causing aplasia and pancytopenia that is usually long-lasting and irreversible. Infusion of HSCs is required to reconstitute hematopoiesis.
-Nonmyeloablative regimens do not destroy the recipient's bone marrow or cause significant cytopenias; however, engrafting donor T cells usually eliminate host hematopoietic cells.
-Reduced-intensity regimens are intermediate between myeloablative and nonmyeloablative. These regimens cause cytopenias and suppress the host's immune system to allow engraftment.",Stem Cells,,,
2018-09-18 00:00:00,What are the types of hematopoietic cell transplant? ,"Allogeneic and autologus 
Allogeneic HCT refers to HCT using hematopoietic stem cells (HSCs) from a donor. The donor may be related (eg, sibling) or unrelated. Related donors can be human leukocyte antigen (HLA)-matched (typically, matched at eight of eight HLA loci) or haploidentical (matched at half of their HLA loci). Autologous HCT refers to HCT using the patient's own HSCs. This is not useful for individuals with SCD unless the autologous cells have been modified (eg, by gene therapy, which is experimental).",Stem Cells,,,
2018-09-18 00:00:00,What are the sources of HSCs? ,"Sources of HSCs include bone marrow, mobilized peripheral blood, and umbilical cord blood.",Stem Cells,,,
2018-09-18 00:00:00,What is the preferred source of HSCs for non-malignant disorders?, Bone marrow is generally preferred for nonmalignant disorders because it contains a lower dose of T cells and confers a lower risk of graft-versus-host disease (GVHD).,Stem Cells,,,
2018-09-18 00:00:00,What are the indications for HCT evaluation in SCD patients? ,"Experts generally agree that HCT may be appropriate for children who continue to have progressive organ dysfunction (eg, strokes, silent cerebral infarcts, multiple sites of osteonecrosis,  acute chest syndrome, or worsening renal, cardiac, or pulmonary function) despite optimal medical therapy of hydroxyurea or chronic transfusions, as well as fully informed older adolescents and adults who can weigh the risks and benefits, provided they have a suitable donor (ideally, a fully matched sibling).",Stem Cells,,,
2018-09-18 00:00:00,What the only potential curative treatment of SCD?,"HCT is the only potentially curative option for individuals with SCD in clinical use. However, the morbidity and mortality associated with HCT are not insignificant. Thus, HCT is only appropriate for individuals for whom the potential for cure outweighs the potential risks of early death, graft-versus-host disease (GVHD), and other potential toxicities such as organ injury from the conditioning regimen.",Stem Cells,,,
2018-09-18 00:00:00,What are the potential risks of HCT in SCD patients?,"The risks are early death, graft-versus-host disease (GVHD), and other potential toxicities such as organ injury from the conditioning regimen.",Stem Cells,,,
2018-09-18 00:00:00,What are the limitation of the use of HCT in SCD patients?,"The use of HCT is limited in SCD for a number of reasons [:
1. Improved outcomes with intensive medical therapy (eg, hydroxyurea, chronic transfusions, L-glutamine), reducing the need for HCT
2. Concerns about transplant-related morbidity and mortality
3. Possible effects of end-organ damage from SCD (eg, pulmonary, renal dysfunction) that may interfere with HCT protocols
4. Concern about effects on fertility
5. Limited availability of matched sibling donors
6. Limited experience in transplanting adults with SCD",Stem Cells,,,
2018-09-18 00:00:00,What is the mortality of HCT in SCD patients?,"Because the mortality from HCT may be as high as 5 to 10 percent, parents (or individuals with SCD) may reasonably choose not to pursue HCT even if they have a suitable related donor.",Stem Cells,,,
2018-09-18 00:00:00,What is the ideal age of HCT? ,The preschool age is the ideal age for HCT in SCD patients.,Stem Cells,,,
2018-09-18 00:00:00,Who are the optimal donors for HCT in SCD patients?,"Siblings (or other HLA-matched first-degree relatives such as parents or children) are always preferable as HCT donors for individuals with SCD. These donors are associated with the greatest survival, lowest rates of graft failure/rejection, and reduced transplant morbidities, especially lower risks of GVHD. Siblings without SCD and siblings with sickle cell trait are both acceptable as donors; inclusion of siblings with sickle cell trait as potential donors expands the donor pool to approximately three-quarters of the patient's HLA-matched siblings, although the proportion of individuals with suitable donors remains small.",Stem Cells,,,
2018-09-18 00:00:00,What are the effects of age and parity on donor selections for HCT? ,"While retrospective analyses have suggested that specific donor characteristics, such as age, sex, and parity, may impact the incidence of transplant-related complications, these factors are only relevant when there are multiple donors. When available, preference is given to younger donors and to male or nulliparous female donors.",Stem Cells,,,
2018-09-18 00:00:00,What is the effect of CMV status on donor selection for HCT? ,"CMV status may impact donor selection when there are more than one otherwise equal donor options. CMV-seropositive recipients have worse survival than seronegative recipients as a group. The best outcomes are seen in CMV-negative recipients with a CMV-negative donor. If the recipient is CMV seronegative, a CMV-seronegative donor is preferred since this will greatly reduce the risk of subsequent infection with CMV, assuming that the patient receives CMV-seronegative blood products. If the recipient is CMV seropositive, some centers advocate for the use of a CMV-seropositive donor with the hope that this will result in a faster restoration of CMV immunity.",Stem Cells,,,
2018-09-18 00:00:00,What is the effect of ABO and Rh status on donor selection for HCT? ,"ABO and Rh compatibility are not required between the donor and recipient.
However, unlike HLA-matched donors, haploidentical donors must have an ABO-compatible blood type with the recipient, and the recipient should not have donor-specific red blood cell (RBC) antibodies.",Stem Cells,,,
2018-09-19 00:00:00,What are the pre-transplant interventions for HCT in SCD patients? ,"1.Hydroxyurea is discontinued prior to starting the conditioning regimen, and exchange transfusions may be performed prior to transplant to reduce potential complications.
2.Data are limited regarding iron chelation prior to transplant in those with iron overload. In individuals undergoing HCT for thalassemia, outcomes are significantly better when the individual has been treated with lifelong iron chelation to prevent organ damage from iron overload.
3. Interventions to reduce the risk of graft-versus-host disease (GVHD) and infections are important for increasing the chances of the best outcome.",Stem Cells,,,
2018-09-19 00:00:00,What is the optimal conditioning regimen for individuals with SCD?,The optimal conditioning regimen for individuals with SCD is unknown. The majority of studies have used myeloablative conditioning (MAC) with cytotoxic chemotherapy and/or total body irradiation (TBI) at doses sufficient to ablate the recipient's bone marrow. Examples have included busulfan and cyclophosphamide or TBI with or without cytotoxic agents. ,Stem Cells,,,
2018-09-19 00:00:00,What is the difference in GVHD prophylaxis between malignant and SCD patients? ," Unlike HCT for malignant diseases, in which the GVHD regimen is tapered more rapidly to facilitate a graft-versus-tumor effect, in SCD the immunosuppression is typically continued for a longer period (eg, approximately six months) before tapering.",Stem Cells,,,
2018-09-19 00:00:00,What is the first case of SCA treated with HCT? ,"The first patient with SCD to be treated with HCT was an eight-year-old girl with SCD who had recurrent vaso-occlusive pain episodes and developed acute myeloid leukemia (AML). She was treated with allogeneic HCT using bone marrow from her human leukocyte antigen (HLA)-matched four-year-old brother, who had sickle cell trait. In addition to curing the AML, HCT led to resolution of vaso-occlusive pain episodes, with full donor chimerism; she remained alive decades later.",Stem Cells,,,
2018-09-19 00:00:00,What is the median time to neutrophil engraftment? ,"Hematopoietic recovery is fastest with hematopoietic cells from bone marrow and peripheral blood, with a median time to neutrophil engraftment of 18 and 15 days, respectively. In comparison, median time to recovery with hematopoietic cells from cord blood was 27 days.",Stem Cells,,,
2018-09-19 00:00:00,What are the determinants of acute graft-versus-host disease?,"GVHD is divided into acute disease, which is graded according to severity (based on the area involved in maculopapular rash, the level of bilirubin, and the amount of diearrhea), and chronic manifestations, which can affect multiple organs.",Stem Cells,,,
2018-09-19 00:00:00,How to assess the engraftment in SCD patients with HCT? ,"Engraftment of the transplanted cells is assessed according to the degree of donor chimerism (ie, the percentage of hematopoietic cells derived from the donor rather than the recipient). This may be assessed by chromosomal analysis (eg, if donor and recipient are of opposite sex) or by DNA testing.
Donor chimerism of at least 20 percent donor myeloid cells is considered sufficient for clinical cure.",Stem Cells,,,
2018-09-19 00:00:00,What is the typical duration for hydroxyurea to reduce pain episodes in SCD patients?,"Typically, the benefit of hydroxyurea in reducing pain episodes does not occur for at least three months. ",Hematology,,,
2018-09-19 00:00:00,What is L-glutamine?,"L-glutamine is a conditionally essential amino acid; it is synthesized in the body, but production becomes inefficient during times of stress. Evidence indicates that pharmaceutical-grade L-glutamine is beneficial in decreasing the incidence of SCD-related vaso-occlusive events without significant safety concern.",Hematology,,,
2018-09-19 00:00:00,What are the indications of using L-glutamine in SCD patients?,"For individuals with SCD who are >5 years of age and have repeated vaso-occlusive pain events, oral L-glutamine is suggested, regardless of whether they are receiving hydroxyurea.",Hematology,,,
2018-09-19 00:00:00,What are the concerns about L-glutamine? ,"Some clinicians have raised concerns that use of L-glutamine may be hindered by the need to mix the powder with food or beverages, that use of glutamine may interfere with administration of hydroxyurea, and the high cost of pharmaceutical-grade glutamine may be a barrier to its use.",Hematology,,,
2018-09-22 00:00:00,What are the possible targets of gene therapy in SCD patients? ,"1. Beta globin gene correction
2. Insertion of an anti-sickling beta globin gene
3. Increasing gamma globin production to increase fetal hemoglobin (HbF)
4. Increasing delta globin production to increase hemoglobin HbA2
5. RNA repair",Stem Cells,,,
2018-09-22 00:00:00,What are first reported case of a SCD patient treated with gene therapy? ,"In a 2017 case report, a 13-year-old boy with SCD who had multiple vaso-occlusive pain episodes and other SCD complications that were not improved with hydroxyurea or chronic transfusions was treated with an autologous hematopoietic cell transplant in which his own hematopoietic stem cells were transduced with this ""anti-sickling variant"" and returned to him after myeloablative chemotherapy. Following engraftment, he had increasing expression of the variant until it reached stable levels of approximately 50 percent of total hemoglobin at nine months, with a reciprocal decline in HbS expression. He became transfusion-independent, required no further analgesics, and had no vaso-occlusive events during the post-transplant observation period of more than 15 months. There were no major adverse events other than the expected cytotoxicity of the conditioning regimen.",Stem Cells,,,
2018-09-22 00:00:00,What are the components of the fetal hemoglobin?, HbF is comprised of two alpha globin chains and two gamma globin (rather than beta globin) chains.,Hematology,,,
2018-09-22 00:00:00,What is the role of fish oil?, Fish oil supplements that contain omega-3 fatty acids are under investigation as a means of reducing vaso-occlusive pain.,Hematology,,,
2018-09-22 00:00:00,What is the management of beta thalassemia in general? ,"Does the patient require regular transfussions?
Yes: it is beta thalassemia major. Initiate regular transfusions and chelation therapy. Is there an HLA-matched sibling donor? Yes: evaluate for bone marrow transplant. No: evalute for unrelated donor tranplant, spenectomy, or gene therapy in clinical trails. 
No: it is the thalassemia intermedia phenotype. Transfuse as needed and monitor iron stores. Initiate chelation therapy if indicated. ",Hematology,,,
2018-09-22 00:00:00,What are the indication of initiation of chelation therapy in beta thalassemia intermedia? ,"1. Over than 25 tranfusions
2.  Ferritin > 100 mcg/L 
3. Liver iron >3 mg/g dry weight
4. Cardiac MRI T2 < 20 milliseconds 

",Hematology,,,
2018-09-22 00:00:00,What is the ideal candidate for HCT in thalassemia patients? ,The ideal candidate is a child who has been treated with regular transfusions and chelation and who has an HLA-identical sibling donor; such a patient has a more than 90 percent likelihood of cure and a 4 percent risk of transplant-related mortality.,Stem Cells,,,
2018-09-22 00:00:00,What can affect the likelihood of cure in thalassemia patients with HCT? ,"The likelihood of cure decreases and the risk of death increases with older patient age, greater iron overload, and a less well-matched donor. While it may be possible to pursue HCT in individuals with a previous episode of heart failure, or compensated cirrhosis, there is a greater likelihood of adverse outcomes in such individuals.
For individuals with comorbidities such as renal failure or human immunodeficiency virus infection, we would avoid HCT because the risks of transplant toxicity would be too great.",Stem Cells,,,
2018-09-22 00:00:00,What is the  optimal age for HCT in patients with beta thalassemia?,"Younger patients have better outcomes than older patients, with an age threshold of 14 years or younger determined to be optimal.",Stem Cells,,,
2018-09-22 00:00:00,What is the thalassemia-free survival following HCT? ,"Approximately 6 to 8 percent of patients who survive HCT have recurrence of thalassemia (eg, due to graft rejection or graft failure), making thalassemia-free survival approximately 6 to 8 percent lower than overall survival.",Stem Cells,,,
2018-09-22 00:00:00,What are the Pesaro risk classes for iron overload in thalassemia patients? ,"Class I patients have zero risk factors (poor quality of chelation therapy, palpable hepatomegaly, or liver fibrosis at pretransplant hepatic biopsy) and are defined by optimal control of iron stores for their entire lives. Class II patients have one or two risk factors, and Class III patients have all three risk factors.",Stem Cells,,,
2018-09-22 00:00:00,What is the role of HCT in alpha thalassemia? ,"Severe alpha thalassemia presents in utero and many patients do not survive until birth due to severe hydrops fetalis. However, case reports describing early transfusional support followed by HCT are emerging. HCT is considered investigational in this setting.",Stem Cells,,,
2018-09-22 00:00:00,What can be considered as a source of donation of stem cells in thalassemia patients with no matched related or unrelated donors?,"It may be possible to perform in vitro fertilization with embryo selection to produce an HLA-matched sibling without thalassemia who can donate umbilical cord blood. This approach carries a number of ethical, legal, and financial considerations. The se of a haploidentical-related donor, such as an HLA-mismatched sibling or parent might a resonable alternative. ",Stem Cells,,,
2018-09-22 00:00:00,What is the probability of finding an HLA-identical sibling who shares the same HLA haplotype at six of six (or eight of eight) HLA loci for HCT in thalassemia patients? ,"The probability that a sibling (assuming they are from the same parents) will be HLA identical is 25 percent, and the probability of having an HLA-identical sibling without thalassemia major is approximately 18.5 percent.",Stem Cells,,,
2018-09-22 00:00:00,What is the regimen for GVHD prophylaxis following HCT in thalassemia patients? ,"It is recommeded to use cyclosporine for graft-versus-host disease (GVHD) prophylaxis along with a ""short methotrexate"" regimen consisting of methotrexate (10 mg/m2 on days 1, 3, and 6 after transplantation). An exception is that methotrexate must be avoided after umbilical cord blood transplant due to adverse effects on outcomes. Cyclosporine is continued for one year after transplantation. Because there is no need for a graft-versus-leukemia effect, cyclosporine is tapered slowly during the post-transplant period.",Stem Cells,,,
2018-09-29 00:00:00,Give four examples of hinge joints? ,"Elbow, knee, ankle and interpharngeal joints",Orthopedics,,,
2018-09-29 00:00:00,Give two examples of ball-and-socket joints. ,Shoulder and hip joints,Orthopedics,,,
2018-09-29 00:00:00,What is the rule of 9?," The most expeditious method to estimate TBSA in adults is the ""Rule of Nines"" [9,10]:
•The head represents 9 percent TBSA
•Each arm represents 9 percent TBSA
•Each leg represents 18 percent TBSA
•The anterior and posterior trunk each represent 18 percent TBSA
Superficial (first-degree) burns are not included in percentage TBSA burn assessment.",Dermatology,,,
2018-09-29 00:00:00,What the palm method for estimation of the TBSA involved in burn? ,"Small or patchy burns can be approximated by using the surface area of the patient's palm. The palm of the patient's hand, excluding the fingers, is approximately 0.5 percent of total body surface area, and the entire palmar surface including fingers is 1 percent in children and adults.",Dermatology,,,
2018-09-29 00:00:00,What is the classification of burns by depth? ,"The traditional classification of burns as first, second, third, or fourth degree was replaced by a system reflecting the need for surgical intervention. Current designations of burn depth are superficial, superficial partial-thickness, deep partial-thickness, and full-thickness . The term fourth degree is still used to describe the most severe burns, burns that extend beyond the skin into the subcutaneous soft tissue and can involve underlying vessels, nerves, muscle, bone, and/or joints.",Dermatology,,,
2018-10-03 00:00:00,Give an example of a case where the age can affect the pathological diagnosis? ," Many tissues change considerably with age, so that something that is normal in an adult would not be normal in a child. For example, the thymus gland gradually decreases in size with age, so a large and hypercellular thymus in an old person could indicate some underlying pathology.",Pathology,,,
2018-10-03 00:00:00,What is the most common used stain for medical diagnosis?,The most commonly used stain for medical diagnosis is haematoxylin and eosin (commonly abbreviated H&E). Haematoxylin is an alkaline dye which stains acidic structures a blue/purple colour. Eosin is an acidic dye which stains basic structures a deep pink colour. Cellular and extracellular components that are neutral take up neither stain and appear relatively clear.,Pathology,,,
2018-10-03 00:00:00,What color will cell nuclei be stained by H&E?,Deep purple/blue. The nucleus of a cell contains DNA (an acid) so it binds the basic dye.,Pathology,,,
2018-10-15 00:00:00,What is the type of hypersensitivity  reaction in serum sickness? ,Type 3 (immune complex disease),Immunology,,,
2018-10-15 00:00:00,What is the predominant immunoglobulin in immune complex formation in serum sickness? ,"The traditional teaching about serum sickness implicated IgG as the predominant immunoglobulin in immune complex formation, although all immunoglobulin classes may be involved.",Immunology,,,
2018-10-15 00:00:00,What is the difference between the classic serum sickness and serum sickness-like reactions? ,"Classic ""serum sickness"" describes the clinical syndrome caused by immunization of the host (human) by heterologous (nonhuman) serum proteins and subsequent illness caused by formation of immune complexes. Serum sickness-like reactions (SSLRs) present as rash, arthritis, and fever beginning several days to weeks following administration of a drug.",Immunology,,,
2018-10-15 00:00:00,How long  does it take for serum sickness to develop? ,"The most common symptoms of serum sickness are rash, fever, malaise, and polyarthralgias or polyarthritis, which occur one to two weeks after first exposure to the responsible agent and resolve within a few weeks of discontinuing the drug. In patients who have been previously exposed to the agent, the syndrome starts earlier (ie, within one to seven days of receiving the inciting agent), and the illness has a more severe and ""explosive"" onset.",Immunology,,,
2018-10-15 00:00:00,What is the management of serum sickness? ,"The management of these reactions primarily involves discontinuation of possible culprit agents. Typically, fever and arthralgias resolve and new skin lesions stop forming within 48 hours of this intervention. This is often all that is required for patients with mild symptoms. 
Further treatments depend upon the discomfort of the individual patient. Antihistamines may be administered for symptomatic relief of pruritus. Nonsteroidal anti-inflammatory agents and analgesics may be given for symptomatic treatment of low-grade fever and arthralgias. 
For patients with higher fever (eg, temperature >38.5°C [>101.3°F]), more severe arthritis and arthralgias, or extensive rashes, short courses of glucocorticoids are suggested. ",Immunology,,,
2018-10-15 00:00:00,What are the most commonly implicated drugs in serum sickness and serum sickness-like reactions?,"SSLRs are most commonly caused by antibiotics, such as penicillin, cefaclor, amoxicillin, and trimethoprim-sulfamethoxazole.",Immunology,,,
2018-10-15 00:00:00,What is the best diagnostic test for Type 1 hypersensitivity reaction?,Prick skin testing,Immunology,,,
2018-10-15 00:00:00,What is the type of interferon that involved in the immune response to BCG? ,Interferon gamma,Immunology,,,
2018-10-15 00:00:00,What is the effect of previous BCG vaccination on tuberculin skin testing? ,"Most individuals who have received BCG vaccine have a tuberculin reaction of 3 to 19 mm in size at two to three months following vaccination. The reaction wanes with time; at more than 10 years after vaccination, it is generally <10 mm. 
Therefore, previous BCG vaccination should NOT influence decisions regarding interpretation of TST results in individuals vaccinated at birth more than 10 years earlier. This is especially important since most individuals who receive BCG vaccine come from countries where the incidence of TB is high. However, since interferon-gamma release assays (IGRAs) are not affected by BCG administration, if this test is available it can be used to interpret positive TSTs in persons with a history of BCG immunization. ",Immunology,,,
2018-10-15 00:00:00,Which cell is involved in the pathogenesis of IBD?,"CD4+ T lymphocytes isolated from patients with Crohn disease secrete large amounts of interferon (IFN)-gamma and tumor necrosis factor (TNF)-alpha, cytokines with a marked proinflammatory effect, thereby implicating Th1 cells in the pathogenesis of IBD. ",Immunology,,,
2018-10-15 00:00:00,What is the new name of Henoch-Schoenlein purpura?,Immunoglobulin A vasculitis,Immunology,,,
2018-10-15 00:00:00,What is the most common form of systemic vasculitis in children?,Immunoglobulin A vasculitis (HSP),Immunology,,,
2018-10-15 00:00:00,What is the tetrad of HSP?,"IgAV (HSP) is a self-limited disease and is characterized by a tetrad of clinical manifestation:
•Palpable purpura without thrombocytopenia and coagulopathy
•Arthralgia and/or arthritis
•Abdominal pain
•Renal disease",Immunology,,,
2018-10-15 00:00:00,What are the clinical features of  primary immunodeficiency disorders?,"B cell defects: recurrent bacterial sinopulmonary infections or sepsis, particularly with polysaccharide encapsulated organisms (Streptococcus pneumoniae, Haemophilus influenzae type b), unexplained bronchiectasis, and failure to thrive
T cell defects: recurrent, severe, or unusual viral infections (VZV, CMV, HSV), chronic candidiasis, pneumocystis pneumonia, and failure to thrive
Phagocytic defects: poor wound healing, soft tissue abscesses, and delayed separation of the umbilical cord
Complement defects: angioedema of face, hands, feet, gastrointestinal tract",Immunology,,,
2018-10-15 00:00:00,List 6 parenteral drugs that can be used for the treatment of hypertensive emergencies in adults?,"1. Labetalol  (used for most hypertensive emergencies including myocardial ischemia, hypertensive encephalopathy, pregnancy, and postoperative hypertension)
2. Esmolol (used for perioperative hypertension)
3. Phentolamine (used as an alternative option for catecholamine excess (eg, adrenergic crisis secondary to pheochromocytoma or cocaine overdose)
4. Nicardipine (used for most hypertensive emergencies, including pregnancy induced.
5. Hydralazine (in general, hydralazine should be avoided due to its prolonged and unpredictable hypotensive effect)
6. Nitroprusside (in general, nitroprusside should be avoided due to its toxicity).",Cardiology,,Yes,
2018-10-15 00:00:00,What are the preferred choices for treatment of eclampsia?,Labetalol and nicardipine are generally preferred choices for treatment of eclampsia.,Gynecology,,Yes,
